shell_script,pattern_type,object_type,schema,object_name,sub_object,is_parameterized,param_position,table_references,static_sql,remote_script,notes
edw_grp_truncate_load_reinsurer_claim_pct_gl_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_LOAD_STG_REINSURER_CLAIM_PCT_R_GL,,False,,STG_GRP_REINSURER_CLAIM_PCT_R,,,This shell script truncates and reloads the table STG_GRP_REINSURER_CLAIM_PCT_R
edw_grp_truncate_load_reinsurer_claim_pct_ltd_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_LOAD_STG_REINSURER_CLAIM_PCT_R_LTD,,False,,STG_GRP_REINSURER_CLAIM_PCT_R,,,"This shell script truncates and reloads the table STG_GRP_REINSURER_CLAIM_PCT_R
Change log:"
edw_grp_truncate_load_reinsurer_claim_pct_waiver_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_LOAD_STG_REINSURER_CLAIM_PCT_R_WAIVER,,False,,STG_GRP_REINSURER_CLAIM_PCT_R,,,This shell script truncates and reloads the table STG_GRP_REINSURER_CLAIM_PCT_R
edw_grp_truncate_load_reinsurer_prem_pct_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_LOAD_STG_REINSURER_PREM_PCT_R,,False,,STG_GRP_REINSURER_CLAIM_PCT_R,,,"This shell script truncates and reloads the table STG_GRP_REINSURER_CLAIM_PCT_R
Change log:"
edw_grp_truncload_fct_billing_pol_prem_r_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_LOAD_FCT_BILLING_POLICY_PREMIUM_R_TABLE,,False,,FCT_BILLING_POLICY_PREMIUM_R_TABLE,,,"This shell script calls procedure PRC_GRP_LOAD_FCT_BILLING_POLICY_PREMIUM_R_TABLE which drops bkp tbl,creates bkp tbl and  truncates and reloads the table FCT_BILLING_POLICY_PREMIUM_R_TABLE,FCT_BILLING_POLICY_PREMIUM_R_TABLE_TMP"
edw_grp_truncload_stg_ann_prem_customer_link_r.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_LOAD_STG_ANN_PREM_CUSTOMER_LINK_R,,False,,STG_ANN_PREM_CUSTOMER_LINK_R,,,"This shell script calls procedure PRC_GRP_LOAD_stg_ann_prem_customer_link_r which drops bkp tbl,creates bkp tbl and  truncates and reloads the table stg_ann_prem_customer_link_r"
edw_grp_truncload_stg_rpt_ann_prem_exclusion_r.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_LOAD_STG_RPT_ANN_PREM_EXCLUSION_R,,False,,STG_RPT_ANN_PREM_EXCLUSION_R,,,"This shell script calls procedure PRC_GRP_LOAD_stg_rpt_ann_prem_exclusion_r which drops bkp tbl,creates bkp tbl and  truncates and reloads the table stg_rpt_ann_prem_exclusion_r"
edw_grp_truncload_stg_rpt_ann_prem_override_r.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_LOAD_STG_RPT_ANN_PREM_OVERRIDE_R,,False,,STG_RPT_ANN_PREM_OVERRIDE_R,,,"This shell script calls procedure PRC_GRP_LOAD_STG_RPT_ANN_PREM_OVERRIDE_R which drops bkp tbl,creates bkp tbl and  truncates and reloads the table STG_RPT_ANN_PREM_OVERRIDE_R"
edw_grp_upd_month_end_config_table.sh,UPDATE_TABLE,TABLE,,PRCS_GRP_MONTH_END_CONFIG_R,UPDATE,False,,,,,This shell script updates start date in the table PRCS_GRP_MONTH_END_CONFIG_R.
edw_grp_upd_pacs_partysk_fct_claim_pmnt_dtl_benefit_pmnt_r.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_UPD_PACS_PARTYSK_FCT_CLAIM_PMNT_DTL_BENEFIT_PMNT_R,,False,,,,,This shell script calls the Procedure PRC_GRP_UPD_PACS_PARTYSK_FCT_CLAIM_PMNT_DTL_BENEFIT_PMNT_R.
edw_grp_upd_pacs_partysk_fct_claim_pmnt_dtl_gross_benefit_r.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_UPD_PACS_PARTYSK_FCT_CLAIM_PMNT_DTL_GROSS_BENEFIT_R,,False,,,,,This shell script calls the Procedure PRC_GRP_UPD_PACS_PARTYSK_FCT_CLAIM_PMNT_DTL_GROSS_BENEFIT_R.
